fp1x,fp1y,fp1z,fp2x,fp2y,fp2z,fsr15.1,fsr15.2,fsr15.3,fsr15.4,fsr16.1,fsr16.2,fsr16.3,fsr16.4
-4.25701,-0.606966,-845.033,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-3.99556,-0.606966,-843.265,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-3.99556,-0.606966,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.25701,-0.869571,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.957105,-840.435,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.606966,-843.618,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.60562,-0.694501,-844.679,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.957105,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.25701,-1.04464,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.25701,-1.04464,-841.496,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.957105,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.869571,-843.618,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.60562,-0.869571,-843.972,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.957105,-843.972,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.869571,-844.326,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.957105,-843.618,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.60562,-0.782036,-843.265,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.694501,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.782036,-841.496,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.606966,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.606966,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-1.04464,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-1.04464,-842.557,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.25701,-0.869571,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-3.64695,-0.782036,-840.435,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.782036,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.957105,-843.265,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.60562,-0.606966,-840.789,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.869571,-840.082,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.606966,-840.789,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.606966,-839.728,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.431897,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.519431,-840.789,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.431897,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.431897,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-3.9084,-0.344362,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-3.99556,-0.344362,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.606966,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.25701,-0.869571,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.60562,-0.606966,-843.618,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.77993,-0.519431,-843.265,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.51847,-0.519431,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.957105,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.431897,-842.557,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.344362,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.694501,-842.557,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-1.04464,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.43132,-0.519431,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.431897,-842.557,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.86708,-0.869571,-842.911,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.77993,-0.869571,-842.204,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.957105,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.782036,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.344362,-840.789,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.0817574,-840.789,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.16986,-0.606966,-841.85,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.869571,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
-4.34417,-0.694501,-841.143,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
